Name,Description,Cuisine,Hours,Good for,Address,Price,Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,"Drawing inspiration from tropical Singapore and the rich history of its heritage-listed building, 1927 blends old-world recipes with modern mixology techniques and inspired local ingredients to bring a contemporary touch to yesteryear favourites. The menu reflects the evolution of the tropical cocktail since the ‘Golden Era’ of the 1920s and 1930s and is categorised into three broad collections: Equatorial Classics (1930s-50s), Contemporary Classics (late 1990s-2000s) and Contemporary Equatorial (house signatures).

1927 boasts a charismatic rooftop lounge area sporting dashes of tropical chic, 1927 features custom-made signature sofas and chairs that add elegance, style and comfort for a complete experience of the senses. The venue is further decorated with brightly-coloured cushions with botanical prints and outdoor planters to enhance relaxation after a hard day’s work or exploring of the island.



Guests can luxuriate on the laid-back loungers awash in sunlight and fabric-swathed cabanas, or take a dip in the refurbished infinity pool that offers city skyline views. The patio is also equipped with the latest state-of-the-art technology, including an 8-feet ultra large screen with projector and modern audio systems, transforming the area into a cutting-edge event space suitable for corporate events, pool parties or fabulous launches. (Mar 2019)","Bar, Modern European, Fusion",Mon-Sun: 3pm till late,"City Views, Drinks, Private Functions, Large Parties (16+)",35 Robinson RoadSingapore (068876),$$$,https://static.chope.co/uploads/2019/03/SG_1927_Absinthe_Colada_jpg_1553166448.jpg https://static.chope.co/uploads/2019/07/SG_1927_Bar_Food_jpg_1563333155.jpg https://static.chope.co/uploads/2019/03/SG_1927_Interior_jpg_1553166449.jpg https://static.chope.co/uploads/2019/03/SG_1927__Hashtag_Frose_jpg_1553166448.jpg https://static.chope.co/uploads/2019/03/SG_1927_Exterior_jpg_1553166448.jpg https://static.chope.co/uploads/2019/03/SG_1927_Baloo_Says_So_jpg_1553166448.jpg https://static.chope.co/uploads/2019/03/SG_1927_La_Hermosa_jpg_1553166449.jpg https://static.chope.co/uploads/2019/05/night_seating_jpg_1559025326.jpg https://static.chope.co/uploads/2019/03/SG_1927_Maybe_it_s_Mapleine_jp_1553166449.jpg https://static.chope.co/uploads/2019/03/SG_1927_Mezcal_Tommy_s_jpg_1553166449.jpg https://static.chope.co/uploads/2019/03/SG_1927_Painkiller_jpg_1553166449.jpg https://static.chope.co/uploads/2019/05/Swimming_pool_jpg_1559025326.jpg https://static.chope.co/uploads/2019/03/SG_1927_Watermelon_Man_jpg_1553166449.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 on Rajah,"Racked up enough Chope-Dollars? Redeem them for vouchers at 21 on Rajah worth $10, $20 and $30 here. Chope-Dollars are rewards earned by diners when they successfully book and dine at restaurants through Chope. Click here to find out more.","Buffet, Vegetarian Friendly, Local, Halal Certified",Mon-Sun: 6am-10:30pm,"Business Meetings, Casual Dining, Kid Friendly, Private Functions, Romantic Dates",1 Jalan RajahSingapore (329133),$$,https://static.chope.co/uploads/2016/04/_Rijsttafel_Weekday_Lunch_Buff_1461294048.jpg https://static.chope.co/uploads/2016/04/Mediterr_Asian_Pasar_Street_Ma_1461294107.jpg https://static.chope.co/uploads/2013/11/Interior_jpg_1385452373.jpg https://static.chope.co/uploads/2015/04/Roast_Beef_jpg_1429792022.jpg https://static.chope.co/uploads/2015/02/21OR_Outdoor_Table_Setting_jpg_1423821680.jpg https://static.chope.co/uploads/2015/04/Seafood_Spread_jpg_1429792022.jpg https://static.chope.co/uploads/2015/02/21OR_Exterior_jpg_1423821691.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Degrees Burgers & Liquor Bar,"Originating from Los Angeles and hangout to the stars, 25 Degrees Burgers & Liquor Bar evokes old Hollywood charm. With sister outlets in Chicago, Huntington Beach, Bangkok and soon in Macau, it is known for juicy burgers and creamy milkshakes.

Named after the precise temperature difference between a raw and well-done hamburger, 25 Degrees introduces a sophisticated twist to the traditional American burger bar concept. Helmed by Executive Chef Sylvain Royer, the cosy dark wood panelled and burgundy wallpapered space is glamorous yet comfortable. Indoor and outdoor seating is available. (Feb 2019)","American, Bar, Cafe, Burgers",Mon-Sun: 7am-3am,"City Views, Casual Dining, Kid Friendly, Drinks",200 Middle RoadSingapore (188980),$$,https://static.chope.co/uploads/2019/02/SG_25Degrees_Craft_Your_Own_jp_1551240378.jpg https://static.chope.co/uploads/2019/02/SG_25Degrees_Number_2_jpg_1551240378.jpg https://static.chope.co/uploads/2019/02/Interior_jpg_1551240378.jpg https://static.chope.co/uploads/2019/02/SG_25Degrees_Number_4_jpg_1551240378.jpg https://static.chope.co/uploads/2019/02/SG_25Degrees_Number_3_jpg_1551240378.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28Wilkie Italian Restaurant & Caviar Bar,"28Wilkie Italian Restaurant & Caviar Bar serves modern Italian-Japanese cuisine in a sophisticated and refined ambience. Light brown details complement the cream and beige colour palette, giving the dining room an airy and casually elegant feel. With its classy atmosphere and delicious fusion cuisine, 28Wilkie Italian Restaurant & Caviar Bar is a welcome addition to the Singapore dining scene.
The carefully curated menu is chock-full of epicurean delights. With a special section dedicated to caviar only - no less than four different types of caviar from around the world are available - it is obvious that 28Wilkie Italian Restaurant & Caviar Bar is the byword for luxurious dining. The rest of the menu is equally exciting. In particular, the Cappellini with Sakura Ebi, Konbu and Shell Fish Oil is a refreshing re-interpretation of the traditional Cappellini dishes. The Burrata di Andria marries burrata cheese with the holy trinity of Italian flavours: heirloom tomatoes, basil, and balsamic vinegar. For the ultimate indulgence, go for the Agnello – a lamb rack with gentle herb crust, served with potato, Brussel sprouts, and garlic puree – or the Filet Mignon served in red wine jus with truffle potato and seasonal vegetables.
Good food, good wine, good times – 28Wilkie Italian Restaurant & Caviar Bar is the perfect choice for special occasions, or an evening of indulgence. (Mar 2017)","Bar, Japanese, Italian, Fusion",Mon-Sat: 4-10:30pmClosed Sunday,"Business Meetings, Fine Dining, Drinks, Private Functions, Quiet Dinner, Romantic Dates, Large Parties (16+)",28 Wilkie Road#01-01Singapore (228051),$$$,https://static.chope.co/uploads/2017/03/28Wilkie_Capellini_with_Vongol_1488972590.jpg https://static.chope.co/uploads/2017/03/28Wilkie_Devil_Eggs_with_Siber_1488972590.jpg https://static.chope.co/uploads/2017/03/28Wilkie_Interior_jpg_1488972591.jpg https://static.chope.co/uploads/2017/09/wine_promotion_jpg_1505877003.jpg https://static.chope.co/uploads/2017/03/28Wilkie_Langoustine_Bisque_jp_1488972591.jpg https://static.chope.co/uploads/2017/08/28Wilkie_Shangri_La_beer_jpg_1502104135.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2am:dessertbar,"The bar features an open concept kitchen - which affords customers a full view of the preparation and plating of its exquisite desserts to encourage interaction between the patrons and chefs.
Having established itself since August 2007 as one of the city’s foremost food and drink establishments at its Holland Village location, the 60-seater has once again redefined the dessert experience by pushing the boundaries between sweet and savory with progressive, carefully researched offerings that are as delectable as they are beautiful. (Aug 2019)","Bar, Dessert Only",Tue-Fri: 3pm-2amSat-Sun: 2pm-2amClosed Monday,"Casual Dining, Drinks, Private Functions, Romantic Dates",21A Lorong LiputSingapore (277733),$$,https://static.chope.co/uploads/2019/08/SG_2amdessertbar_Truffle_Infin_1566212191.jpg https://static.chope.co/uploads/2019/08/SG_2amdessertbar_5_Tastes_Choc_1566212191.jpg https://static.chope.co/uploads/2019/08/SG_2amdessertbar_Interior_jpg_1566212191.jpg https://static.chope.co/uploads/2019/08/SG_2amdessertbar_Spring_Strawb_1566212191.jpg https://static.chope.co/uploads/2019/08/SG_2amdessertbar_Tsujirihei_Gr_1566212191.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3O1 Bar & Kitchen,,"Bar, Fusion, International, Burgers",Mon-Thu: 5pm-1amFri-Sun: 5pm-2am,"Al Fresco, Casual Dining, Kid Friendly, Pet Friendly, Private Functions, Romantic Dates",301 Canberra RoadSingapore (759774),$$,https://static.chope.co/uploads/2019/07/SG_3O1_Bar_Kitchen_3O1_Beef_Bu_1562727492.jpg https://static.chope.co/uploads/2019/07/SG_3O1_Bar_Kitchen_3O1_Truffle_1562727492.jpg https://static.chope.co/uploads/2019/07/SG_3O1_Bar_Kitchen_3O1_Fish_Ch_1562727492.jpg https://static.chope.co/uploads/2019/07/SG_3O1_Bar_Kitchen_Flatlay1_jp_1562727493.jpg https://static.chope.co/uploads/2019/07/SG_3O1_Bar_Kitchen_Cuttlefish__1562727493.jpg https://static.chope.co/uploads/2019/07/SG_3O1_Bar_Kitchen_Flatlay_jpg_1562727493.jpg https://static.chope.co/uploads/2019/07/SG_3O1_Bar_Kitchen_Drinks_jpg_1562727493.jpg https://static.chope.co/uploads/2019/07/SG_3O1_Bar_Kitchen_Mixed_Platt_1562727494.jpg https://static.chope.co/uploads/2019/07/SG_3O1_Bar_Kitchen_Prawns_in_G_1562727494.jpg https://static.chope.co/uploads/2019/07/SG_3O1_Bar_Kitchen_Mixed_Grill_1562727494.jpg https://static.chope.co/uploads/2019/07/SG_3O1_Bar_Kitchen_Sausage_Pla_1562727494.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4+U Bar+Kitchen,"This modern Western café and bar may be a new kid on the block, but they're already gearing up to be the perfect place to dine and destress. Situated in the heart of Tiong Bahru, this family-centric restaurant has a cosy ambience and spacious venue that's perfect for any meal. They also offer daily set lunch specials and a brunch menu on weekends.
There's no denying that 4 + U Bar + Kitchen will surely pique your interest. Not only do they have value-for-money menus, but they also dish out a wide variety of sumptuous offerings, such as the must-try Arora Prawn, Duck Off (which is a sous-vide duck!), Waffle Egg Benedict and Shibuya Carbonara Toast. (Jun 2019)","Modern European, Fusion, Cafe",Tue-Sun: 10:30am-10:30pmClosed Monday,"Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions, Quiet Dinner",4 Kim Tian RoadSingapore (169245),$$,https://static.chope.co/uploads/2019/06/SG_4_U_Bar_Kitchen_Linguine_Wi_1560159020.jpg https://static.chope.co/uploads/2019/06/SG_4_U_Bar_Kitchen_Classic_Bee_1560159020.jpg https://static.chope.co/uploads/2019/06/SG_4_U_Bar_Kitchen_Ciabatta_Wi_1560159020.jpg https://static.chope.co/uploads/2019/06/SG_4_U_Bar_Kitchen_Bugette_Wit_1560159020.jpg https://static.chope.co/uploads/2019/06/SG_4_U_Bar_Kitchen_Duck_Confit_1560159020.jpg https://static.chope.co/uploads/2019/06/SG_4_U_Bar_Kitchen_Interior_jp_1560159020.jpg https://static.chope.co/uploads/2019/06/SG_4_U_Bar_Kitchen_Linguine_Ar_1560159020.jpg https://static.chope.co/uploads/2019/06/SG_4_U_Bar_Kitchen_Onion_Rings_1560159021.jpg https://static.chope.co/uploads/2019/06/SG_4_U_Bar_Kitchen_Pan_Fried_S_1560159021.jpg https://static.chope.co/uploads/2019/06/SG_4_U_Bar_Kitchen_2_jpg_1560159021.jpg https://static.chope.co/uploads/2019/06/SG_4_U_Bar_Kitchen_Salad_jpg_1560159021.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49 Seats,"Pre-purchase Chope Vouchers for 49 Seats and get up to 25% off. This offer is not valid with 'Chope Exclusives', other discounts and promotions.
Click here to purchase.","Fusion, Local",Mon-Thu: 11:30am-2:30amFri-Sat: 11:30am-5amSun: 11:30am-11pm,"Business Meetings, Casual Dining, Kid Friendly, Romantic Dates, Large Parties (16+)",176 Orchard Road#01-49The CentrepointSingapore (238843),$$,https://static.chope.co/uploads/2018/03/Tom_Yam_Pasta_final_jpg_1522035178.jpg https://static.chope.co/uploads/2018/03/SG_49seats_tom_yam_salted_egg__1521784705.jpg https://static.chope.co/uploads/2018/03/SG_49seats_cheese_fries_jpg_1521784704.jpg https://static.chope.co/uploads/2018/03/SG_49seats_cheesy_chicken_chop_1521784705.jpg https://static.chope.co/uploads/2018/03/SG_49seats_Chicken_Chop_with_m_1521784705.jpg https://static.chope.co/uploads/2018/03/SG_49seats_fish_chips_with_tom_1521784705.jpg https://static.chope.co/uploads/2018/03/SG_49seats_food_spread_jpg_1521784705.jpg https://static.chope.co/uploads/2018/03/SG_49seats_smoked_duck_aglio_o_1521784705.jpg https://static.chope.co/uploads/2018/03/SG_49_Seats_Interior_jpg_1521613379.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4Fingers Crispy Chicken (Changi Airport T3),"At 4FINGERS we are nuts about chicken. So when we discovered the best Asian crispy chicken in New York City's grungy subway scene, we knew we had to share it. And so began the revolution of crispy chicken.

Spicy, crispy, unique and downright, addictive - it's chicken that is so good, it is bad. And there are thousands would agree with us.

One of the reasons that we are call 4FINGERS is because that the main 4 fingers on each hand required to tear & enjoy the finger licking chicken. It is time to get your hands dirty. (May 2019)","Korean, Halal Certified, Burgers",Sun-Thu: 10:30am-11pmFri-Sat: 10:30-1am,"Kid Friendly, Drinks, Private Functions",65 Airport Boulevard#B2-02Changi Airport Terminal 3Singapore (819663),$$,https://static.chope.co/uploads/2019/04/SG_4Fingers_Chicken_Burger_jpg_1556593528.jpg https://static.chope.co/uploads/2019/04/SG_4Fingers_Signature_Crispy_W_1556593528.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Senses Bistro (Funan Mall),"Indulge your senses in the simple joys of comfort food prepared with passion and specially curated ingredients. At 5 Senses Bistro (Funan Mall), we fuse Asian and European flavours based on simplicity and freshness.

Every meal is a refreshing culinary adventure that will delight and leaves an impression on all your senses, bring your friends and family along! If there's one thing that's even better than a good meal, it's enjoying it with better company. (Jul 2019)","Modern European, French, Fusion, Seafood, Cafe",Mon-Sun: 11am-9pm,"Al Fresco, Business Meetings, City Views, Casual Dining, Kid Friendly, Drinks, Private Functions, Romantic Dates",107 North Bridge Road#02-17Funan MallSingapore (179105),$$,https://static.chope.co/uploads/2019/07/SG_5_Senses_Bistro_Seafood_Agl_1564483466.jpg https://static.chope.co/uploads/2019/07/SG_5_Senses_Bistro_Pan_Seared__1564483466.jpg https://static.chope.co/uploads/2019/07/SG_5_Senses_Bistro_Carbonara_j_1564483465.jpg https://static.chope.co/uploads/2019/07/SG_5_Senses_Bistro_Aus_Ribeye__1564483465.jpg https://static.chope.co/uploads/2019/07/SG_5_Senses_Bistro_Braised_Lam_1564483465.jpg https://static.chope.co/uploads/2019/07/SG_5_Senses_Bistro_Chocolate_L_1564483466.jpg https://static.chope.co/uploads/2019/07/SG_5_Senses_Bistro_Waffle_jpg_1564483466.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Senses Bistro (The Star Vista),"Indulge your senses in the simple joys of comfort food prepared with passion and specially curated ingredients. At 5 Senses Bistro (The Star Vista), we fuse Asian and European flavours based on simplicity and freshness.

Every meal is a refreshing culinary adventure that will delight and leaves an impression on all your senses, bring your friends and family along! If there's one thing that's even better than a good meal, it's enjoying it with better company. (Apr 2019)","Bar, Japanese, International, Seafood",Mon-Sun: 11am-9pm,"Business Meetings, Fine Dining, Casual Dining, Drinks, Private Functions, Quiet Dinner, Romantic Dates",1 Vista Exchange Green#02-21The Star VistaSingapore (138617),$$,https://static.chope.co/uploads/2019/04/SG_5_Senses_Bistro_Pan_Seared__1554119792.jpg https://static.chope.co/uploads/2019/04/SG_5_Senses_Bistro_Carbonara_jpg_1554778754.jpg https://static.chope.co/uploads/2019/04/SG_5_Senses_Bistro_Chocolate_Lava_Cake_jpg_1554778763.jpg https://static.chope.co/uploads/2019/04/SG_5_Senses_Bistro_Furikake_Fr_1554119789.jpg https://static.chope.co/uploads/2019/04/SG_5_Senses_Bistro_Braised_Lamb_Shank_jpg_1554778830.jpg https://static.chope.co/uploads/2019/04/SG_5_Senses_Bistro_Seafood_Aglio_Olio_jpg_1554778772.jpg https://static.chope.co/uploads/2019/04/SG_5_Senses_Bistro_Waffle_jpg_1554119795.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51 Soho,"""An all-day dining venue situated at the crossroads of the busy Telok Ayer district, 51 Soho lends itself perfectly as a space for both work and play. Its offerings evolve through the hours, and reflects its human-oriented approach.
In short, 51 Soho encompasses all that is needed in a day for work and play.
An airy light-filled space framed by alfresco-facing ceiling-high windows facing the hustle and bustle of its central downtown location; a stylish full-fledged coffee and cocktail bar full of character in both its form and beverages; thoughtful menus that progress to support hour-to-hour culinary requirements; and that modern-day essential, complimentary high-speed wifi – these are the foundation for the new heart of this vibrant neighbourhood.
51 Soho is the realisation of a vision: a space, dashing and sophisticated, that brings together the parallel rhythms and affinities of disparate groups with élan and finesse, where both the intellectual and corporeal passions have the room and scope for indulgence – a place where the idea of ‘community’ is actualised.That sense of welcome and belonging you feel? It’s real."" (Feb 2019)","Modern European, Modern Asian",Mon-Sun: 9am-11pm,"Al Fresco, Business Meetings, City Views, Kid Friendly, Drinks, Private Functions, Romantic Dates, Large Parties (16+)",51 Telok Ayer Street#01-01Singapore (048441),$$$$,https://static.chope.co/uploads/2019/05/SG_51_Soho_Buffalo_Pork_jpg_1558935185.jpg https://static.chope.co/uploads/2019/05/SG_51_Soho_Breakfast_jpg_1558935185.jpg https://static.chope.co/uploads/2019/02/51_Soho_Interior_jpg_1550734491.jpg https://static.chope.co/uploads/2019/05/SG_51_Soho_Pan_Seared_Chicken__1558935185.jpg https://static.chope.co/uploads/2019/05/SG_51_Soho_Salmon_Pearl_jpg_1558935185.jpg https://static.chope.co/uploads/2019/02/51_Soho_Interior2_jpg_1550734580.jpg https://static.chope.co/uploads/2019/05/SG_51_Soho_Skew_It_jpg_1558935185.jpg https://static.chope.co/uploads/2019/05/SG_51_Soho_Spice_de_Canard2_jp_1558935185.jpg https://static.chope.co/uploads/2019/02/51_Soho_Bar_jpg_1550734466.jpg https://static.chope.co/uploads/2019/05/SG_51_Soho_Spicy_Pasta_jpg_1558935185.jpg https://static.chope.co/uploads/2019/02/51_Soho_Ext_jpg_1550734482.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63Celsius (Asia Square),"Feeling a little flushed? It’s probably the gorgeous fare at 63Celsius that has got your temperature rising. This fashionable hideout located at Asia Square attracts the office crowd for its mouthwatering fare and artisanal coffee in the day while transforming into a chic watering hole as the sun sets against the bustling business district.

Now with a spruced-up menu, 63Celsius is simply the best for all events.

Here with colleagues and friends? It’s definitely a case of the more the merrier when you just can’t choose between their Crispy Spam Fries, the Vegetarian Flat Bread or the irresistible Delicious Deep Fried Chicken Mid Wings. We are absolutely in love with their rendition of the classic Grilled Cheese Toast as well. You can’t blame us when this gooey goodness features three cheeses: the decadent goat’s cheese, the heady Grana Padano, and the sharp Swiss Cheese - a glorious celebration of classic comfort food indeed.

Those craving for something familiar will find it hard to say no to the 63Chicken Rice as the the local favourite is given a classy twist, featuring a perfectly poached chicken thigh atop a glistening bed of aromatic long grain rice. Finally, leave some space for the 63Garoupa Sweet & Sour as this tangy dish garnished with longan and dragonfruit is a tropical treat for the senses.

Wind down for some post-work drinks here at 63Celsius as well, especially when you are spoilt by more than 50 choices. Paired with the industrial chic space, you probably won’t be leaving anytime soon. (Jul 2017)","Modern European, Italian, Spanish, South American","Mon-Fri: 8am-11pmClosed Saturday, Sunday & PH","Business Meetings, Casual Dining, Drinks, Private Functions","12 Marina View #01-03, Asia Square Tower 2Singapore (018961)",$$$,https://static.chope.co/uploads/2018/10/SPANISH_DUROC_PORK_CHOP_jpg_1539252626.jpg https://static.chope.co/uploads/2018/10/63SPRING_ROLLS_jpg_1539252625.jpg https://static.chope.co/uploads/2018/10/BONITO_FRIES_jpg_1539252626.jpg https://static.chope.co/uploads/2018/10/JOSPER_GRILLED_HOKKAIDO_SQUID__1539252626.jpg https://static.chope.co/uploads/2018/10/RIBEYE_STEAK_jpg_1539252626.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63Celsius (Paragon),"After a day of luxury shopping at the elegant Paragon Shopping Mall, nothing hits the spot quite like a comforting meal of bistro favourites and a strong cuppa. 63Celsius offers that and more in an inviting space that will charm your socks off. If brunch is what you’re after, they’ve got you covered. A perfect French-style omelette filled with crabmeat, chorizo, and Parmesan cheese, then dressed with aromatic herbs will help you start your day on a good note, matched only by their other brunch signature, the 63Benedict, featuring a two sous-vide eggs, smoked shoulder ham, chorizo, tomatillos, and aioli on a plate with some crusty sourdough.

Lunchtime goes to posh places with their selection of almost-carnal indulgences: think Boneless American Black Angus Shortribs, impossibly tender ribs served with piquant pico de gallo and fragrant with the complex spice mix of their house dry rub. Or a classic Steak Frites, made with quality Argentinian beef, served up with a pat of herb butter and plenty of crispy shoestring fries. The pasta here is artisanal and they’re especially famous for their Lobster Pasta, half a lobster gracing a plate laden with a tangle of spaghetti, fresh San Marzano tomatoes, and garlic. The Wagyu Bolognese is just as good, a rich and meaty ragu made with a hearty veal stock and premium tomatoes before a generous dusting of Gran Padano cheese. Pair all this with one of the wines in their comprehensive selection, then settle down to the only logical conclusion to the meal: a Chocolate Lava Tart, so blissfully self-explanatory. There’s some serious chow to be had here, so book ahead to avoid disappointment! (Sep 2017)","Modern European, Fusion",Mon-Sun: 9am-11pm,"Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions, Romantic Dates",290 Orchard Road#04-09/K1Paragon Shopping CentreSingapore (238859),$$,https://static.chope.co/uploads/2019/03/SG_63_Celcius_CHAR_SIEW_NOODLE_1553484614.jpg https://static.chope.co/uploads/2019/03/SG_63_Celcius_BEEF_HASH_26_jpg_1553484614.jpg https://static.chope.co/uploads/2019/03/SG_63_Celcius_HOKKAIDO_A4_SNOW_1553484614.jpg https://static.chope.co/uploads/2019/03/SG_63_Celcius_HOKKAIDO_PORK_SA_1553484614.jpg https://static.chope.co/uploads/2019/03/SG_63_Celcius_MODERNIST_CHICKE_1553484614.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665°F,"Sitting at the top of Andaz Singapore at Level 38, 665°F is the hotel’s premium steakhouse, where you can take in the rich interior inspired by classic Savile-Row tailor shops and stunning views of the Singapore skyline. Named after the temperature of the Pira oven and grill in which sits in the heart of a show kitchen, 665°F is a cosy dining experience specialising in gourmet prime cuts and sustainable seafood. (Aug 2019)",Steakhouse,"Sat-Tues: 6-10pmWed-Fri: 12-2:30pm, 6-10pm","Business Meetings, City Views, Fine Dining, Casual Dining, Private Functions, Quiet Dinner, Romantic Dates",5 Fraser StreetLevel 38Andaz SingaporeSingapore (189354),$$$,https://static.chope.co/uploads/2019/05/Australian_Lamb_Chops_665F_jpg_1558686569.jpg https://static.chope.co/uploads/2019/05/Tajima_1_jpg_1558686569.jpg https://static.chope.co/uploads/2019/05/Hokkaido_Scallop_Ceviche_jpg_1558686569.jpg https://static.chope.co/uploads/2019/05/Tomahawk__jpg_1558686570.jpg https://static.chope.co/uploads/2019/05/USDA_Prime_beef_Short_Rib_jpg_1558686571.jpg https://static.chope.co/uploads/2017/12/665_steak_jpg_1512576407.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79 After Dark,"79 After Dark, a Chinese-Indian restaurant with a focus on communal dining for friends and families to enjoy a great meal and conversation, opens its doors to patrons at Boat Quay this month.

Open till 3am daily, 79 After Dark’s name was inspired by Boat Quay’s vibrant ambience which comes alive after dark and it was created as a response to popular demand for a late-night joint serving unique and fresh food at Boat Quay. The interior is focused around a combination of sensual red and deep blue with gold, wooden and artsy accents in ambient lighting. The seating is arranged with sociable layout, both indoor and outdoor.

This urban oasis offers an even more chill-out atmosphere on weekends with live DJ spinning sexy beats and al-fresco dining option on the Circular Road. It is an ideal place to stop in Boat Quay for travellers, a date night, business after-meeting, special occasions, private parties or just cause weekend hangout.

Unique to the dining venues around the area, 79 After Dark provides complimentary valet parking services for guests with a minimum spend of $150 - just leave your car with them and enjoy the rest of your night. (Mar 2019)","Chinese, Indian, Fusion, Vegetarian Friendly",Mon-Fri: 11:30-3amSat: 4:30pm-4amClosed Sunday,"Al Fresco, Business Meetings, Casual Dining, Drinks, Private Functions, Romantic Dates",79 Circular Road#01-01Singapore (049433),$$$,https://static.chope.co/uploads/2019/05/Food_Spread_jpg_1557375183.jpg https://static.chope.co/uploads/2019/05/Kebab_Sharing_Platter_jpg_1557285490.jpg https://static.chope.co/uploads/2019/05/Chicken_Lollipop_jpg_1557285490.jpg https://static.chope.co/uploads/2019/05/Chilli_Chicken_Sizzler_jpg_1557285490.jpg https://static.chope.co/uploads/2019/04/Bar_1_jpg_1554104972.jpg https://static.chope.co/uploads/2019/05/Chilli_Mushroom_jpg_1557285490.jpg https://static.chope.co/uploads/2019/05/Dahi_Ke_Kebaba_jpg_1557285490.jpg https://static.chope.co/uploads/2019/04/Outdoor_View_jpg_1554104972.jpg https://static.chope.co/uploads/2019/05/Mutton_Rogan_Josh_jpg_1557285490.jpg https://static.chope.co/uploads/2019/05/Vegetarian_Biryani_jpg_1557285490.jpg https://static.chope.co/uploads/2019/04/Bar_Interior_jpg_1554104972.jpg https://static.chope.co/uploads/2019/05/Blueberry_Cheesecake_jpg_1557285490.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7th Heaven KTV & Cafe,"Forget your usual seedy KTV lounge, this spot is the new place to be. Serving a selection of delicious international bites alongside KTV entertainment, this spot is sure to give other lounges in Singapore a run for their money. With sharing plates and individual portions on offer, diners can sing late into the night without fearing that they will go hungry.

There is a snack menu with nibbles such as the Signature Truffle Fries, which are deep fried till golden brown and crisp, then drizzled with truffle oil and topped with parmesan cheese for an extra touch of richness. For something a little heartier, opt for the Spam Fries - deep fried luncheon meat topped with parmesan cheese and garlic mayo dip.

The Lychee Smoked Duck Pizza is another must-try. This unique dish incorporates the fruity sweetness of lychee into a meaty pizza dish. The combination may look odd on paper, but the sweet and smoky flavours combine to make a delicious dish. Not as adventurous? The Mac & Cheese is another option. Made with soft elbow pasta topped with bacon and baked with cheese, this dish is rich and sure to fuel you through a marathon singing session. (Dec 2018)","Bar, Cafe",Mon-Thu: 3pm-1amFri-Sat: 11am-3amSun: 11am-1am,"Casual Dining, Drinks, Private Functions, Large Parties (16+)",1/A Tampines Street 92#03-02SAFRA TampinesSingapore (528882),$$,https://static.chope.co/uploads/2018/12/SG_7thHeavenKTV_Cafe_Pull_Pork_1544011280.jpg https://static.chope.co/uploads/2018/12/SG_7thHeavenKTV_Cafe_Interior__1544011280.jpg https://static.chope.co/uploads/2018/12/SG_7thHeavenKTV_Cafe_Waffles_j_1544011280.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
